FocusArea;Primary;Elective
Algorithms & Theory;CS3230,CS3236,CS4231,CS4232;CS3233,CS5230,CS5234,CS5237,CS5238
Artificial Intelligence;CS3243,CS3244,CS4246,CS4244;CS4216,CS4220,CS4248,CS5209,CS5215,CS5228,CS5247,CS5340
Computer Networks;CS2105,CS3103,CS4222,CS4274;CS4344,CS5229,CS5248
Database Systems;CS2102,CS3223,CS4221,CS4224;CS4220,CS5225,CS5228,CS5322
Information Retrieval;CS3245,CS3246,CS4242,CS4248;CS4347,CS5246,CS5241,CS5244/CS6242
Interactive Media;CS3241,CS3242,CS3247,CS4344,CS3240,CS4249,CS4347;CS3218,CS3343,CS4340,CS4243,CS4247,CS5241,CS5342
Parallel Computing;CS3210,CS3211,CS4231,CS4223;CS4237,CS4271,CS4345,CS5207,CS5222,CS5223,CS5239
Programming Languages;CS2104,CS3211,CS4215,CS4212;CS3234,CS4216,CS5205,CS5232,CS5214,CS5215,CS5218
Software Engineering;CS2103,CS3213,CS4211,CS4218;CS3216,CS3217,CS3234,CS4217,CS4271,CS5219,CS5232,CS5272,IS2102,IS2104
Systems Security;CS2107,CS3235,CS4236,CS4238;CS3221,CS5231,CS5321,CS5322,CS5331,IS3230,IS4231,IS4232
Visual Computing;CS3241,CS3242,CS4247,CS4243;CS3218,CS3343,CS4340,CS4345,CS5237,CS5240,CS5341/CS6243
