ModuleCode, ModuleName, ModuleDepartment, ModuleCredit
CS1010,Programming Methodology,CS,4
CS1020,Data Structures and Algorithms,CS,4
CS1231,Discrete Structures,CS,4
CS2010,Data Structures and Algorithms II,CS,4
CS2100,Computer Organisation,CS,4
CS2101,Effective Communication for Computing Professionals,CS,4
CS2103T,Software Engineering,CS,4
CS2105,Introduction to Computer Networks,CS,4
CS2106,Introduction to Operating Systems,CS,4
CS3201,Software Engineering Project I,CS,4
CS3202,Software Engineering Project II,CS,4
CS3230,Design and Analysis of Algorithms,CS,4
MA1301,Introductory Mathematics,MA,4
MA1521,Calculus for Computing,MA,4
MA1101R,Linear Algebra I,MA,4
ST2334,Probability and Statistics,ST,4
PC1222,Fundamentals of Physics II,PC,4
