ModuleCode;ModuleName;ModuleDepartment;ModuleCredit
ACC1002;"Financial Accounting";ACCOUNTING;4
ACC1002X;"Financial Accounting";ACCOUNTING;4
ACC1006;"Accounting Information Systems";ACCOUNTING;4
ACC2002;"Managerial Accounting";ACCOUNTING;4
ACC3601;"Corporate Accounting and Reporting";ACCOUNTING;4
ACC3602;"Managerial Planning and Control";ACCOUNTING;4
ACC3603;"Assurance and Attestation";ACCOUNTING;4
ACC3604;"Corporate and Securities Law";ACCOUNTING;4
ACC3605;Taxation;ACCOUNTING;4
ACC3606;"Advanced Corporate Accounting and Reporting";ACCOUNTING;4
ACC3611;"Corporate Governance and Ethics";ACCOUNTING;4
ACC3612;"Risk Management and Internal Control";ACCOUNTING;4
ACC3613;"Advanced Assurance and Attestation";ACCOUNTING;4
ACC3614;Valuation;ACCOUNTING;4
ACC3615;"Accounting Theory";ACCOUNTING;4
ACC4611;"Advanced Taxation";ACCOUNTING;4
ACC4612A;"Seminars in Accounting: Internal Auditing";ACCOUNTING;4
ACC4612C;"Sem in Acctg: Internal Control and Risk Mgmt in China";ACCOUNTING;4
ACC4612E;"Seminars in Accounting: Risk Management Technology";ACCOUNTING;4
ACC4619;"Advanced Independent Study in Accounting";ACCOUNTING;4
ACC4629;"Advanced Independent Study in Accounting";ACCOUNTING;2
AR1102;"Design 2";ARCHITECTURE;8
AR1326;"Architectural Construction";ARCHITECTURE;4
AR1721;"Climate Responsive Architecture";ARCHITECTURE;4
AR1724;"Introduction To Landscape Architecture";ARCHITECTURE;4
AR2102;"Design 4";ARCHITECTURE;8
AR2151;"Technology Integration I";ARCHITECTURE;4
AR2225;"Reading Visual Images";ARCHITECTURE;4
AR2327;"Architecture Structure and Construction";ARCHITECTURE;4
AR2723;"Strategies for Sustainable Architecture";ARCHITECTURE;4
AR3102;"Design 6";ARCHITECTURE;8
AR3102A;"Design 6 (Landscape Architecture Emphasis)";ARCHITECTURE;8
AR3152;"Technology Integration II";ARCHITECTURE;4
AR3721;"Environmental Systems and Construction";ARCHITECTURE;4
AR4102;"Design 8";ARCHITECTURE;8
AR4104;"Architectural & Technology Design 2";ARCHITECTURE;8
AR4142;"Research Report";ARCHITECTURE;8
AR4223;"Architecture and Urban Heritage";ARCHITECTURE;4
AR4323;"Assessment of Sustainable Design";ARCHITECTURE;4
AR5011;"Research Methodology";ARCHITECTURE;4
AR5221;"CONTEMPORARY THEORIES";ARCHITECTURE;4
AR5321;"Advanced Architectural Technology";ARCHITECTURE;4
AR5952J;"HUMAN ECOLOGY AND BUILT ENVIRONMENT - SPACE AND HEALTH";ARCHITECTURE;4
