ModuleCode;ModuleName;ModuleDepartment;ModuleCredit;ModuleLevel
ACC1002;"Financial Accounting";ACCOUNTING;4;1
ACC1002X;"Financial Accounting";ACCOUNTING;4;1
ACC1006;"Accounting Information Systems";ACCOUNTING;4;1
ACC2002;"Managerial Accounting";ACCOUNTING;4;2
ACC3601;"Corporate Accounting and Reporting";ACCOUNTING;4;3
ACC3602;"Managerial Planning and Control";ACCOUNTING;4;3
ACC3603;"Assurance and Attestation";ACCOUNTING;4;3
ACC3604;"Corporate and Securities Law";ACCOUNTING;4;3
ACC3605;Taxation;ACCOUNTING;4;3
ACC3606;"Advanced Corporate Accounting and Reporting";ACCOUNTING;4;3
ACC3611;"Corporate Governance and Ethics";ACCOUNTING;4;3
ACC3612;"Risk Management and Internal Control";ACCOUNTING;4;3
ACC3613;"Advanced Assurance and Attestation";ACCOUNTING;4;3
ACC3614;Valuation;ACCOUNTING;4;3
ACC3615;"Accounting Theory";ACCOUNTING;4;3
ACC4611;"Advanced Taxation";ACCOUNTING;4;4
ACC4612A;"Seminars in Accounting: Internal Auditing";ACCOUNTING;4;4
ACC4612C;"Sem in Acctg: Internal Control and Risk Mgmt in China";ACCOUNTING;4;4
ACC4612D;"Seminars in Accounting: Advanced Accounting Theory";ACCOUNTING;4;4
ACC4612E;"Seminars in Accounting: Risk Management Technology";ACCOUNTING;4;4
ACC4619;"Advanced Independent Study in Accounting";ACCOUNTING;4;4
ACC4629;"Advanced Independent Study in Accounting";ACCOUNTING;2;4
ACC5001;"Business Analysis and Valuation";ACCOUNTING;4;5
AR1101;"Design I";ARCHITECTURE;8;1
AR1102;"Design 2";ARCHITECTURE;8;1
AR1326;"Architectural Construction";ARCHITECTURE;4;1
AR1327;"Structural Principles";ARCHITECTURE;4;1
AR1721;"Climate Responsive Architecture";ARCHITECTURE;4;1
AR1724;"Introduction To Landscape Architecture";ARCHITECTURE;4;1
AR2101;"Design 3";ARCHITECTURE;8;2
AR2102;"Design 4";ARCHITECTURE;8;2
AR2151;"Technology Integration I";ARCHITECTURE;4;2
AR2221;"History & Theory Of SEA Architecture";ARCHITECTURE;4;2
AR2222;"History & Theory Of Western Architecture";ARCHITECTURE;4;2
AR2223;"Theory Of Urban Design & Planning";ARCHITECTURE;4;2
AR2224;"Ideas and Approaches in Design";ARCHITECTURE;4;2
AR2225;"Reading Visual Images";ARCHITECTURE;4;2
AR2226;"History & Theory Of Modern Architecture";ARCHITECTURE;4;2
AR2327;"Architecture, Structure and Construction";ARCHITECTURE;4;2
AR2521;"Digital Modelling and Simulation";ARCHITECTURE;4;2
AR2723;"Strategies for Sustainable Architecture";ARCHITECTURE;4;2
AR2724;"Designing with Environmental Systems";ARCHITECTURE;4;2
AR3101;"Design 5";ARCHITECTURE;8;3
AR3101A;"Design 5 (Landscape Architecture Emphasis)";ARCHITECTURE;8;3
AR3102;"Design 6";ARCHITECTURE;8;3
AR3102A;"Design 6 (Landscape Architecture Emphasis)";ARCHITECTURE;8;3
AR3151;"Design - ISM";ARCHITECTURE;4;3
AR3152;"Technology Integration II";ARCHITECTURE;4;3
AR3421;"Introduction to Architectural Practice";ARCHITECTURE;4;3
AR3721;"Environmental Systems and Construction";ARCHITECTURE;4;3
AR4101;"Design 7";ARCHITECTURE;8;4
AR4102;"Design 8";ARCHITECTURE;8;4
AR4103;"Architectural & Technology Design 1";ARCHITECTURE;8;4
AR4104;"Architectural & Technology Design 2";ARCHITECTURE;8;4
AR4142;"Research Report";ARCHITECTURE;8;4
AR4222;"Asian Architecture and Urban History";ARCHITECTURE;4;4
AR4223;"Architecture and Urban Heritage";ARCHITECTURE;4;4
AR4322;"Design Simulation & Analysis";ARCHITECTURE;4;4
AR4323;"Assessment of Sustainable Design";ARCHITECTURE;4;4
AR5011;"Research Methodology";ARCHITECTURE;4;5
AR5103;"ARCHITECTURAL DESIGN THESIS";ARCHITECTURE;24;5
AR5104;"FINAL DESIGN PROJECT";ARCHITECTURE;20;5
AR5121;"SPECIAL TOPICS IN TECHNOLOGY";ARCHITECTURE;4;5
AR5141;DISSERTATION;ARCHITECTURE;8;5
AR5142;"TECHNICAL DISSERTATION";ARCHITECTURE;8;5
AR5221;"CONTEMPORARY THEORIES";ARCHITECTURE;4;5
AR5312;"Typo-Morphology In Architecture";ARCHITECTURE;4;5
AR5321;"Advanced Architectural Technology";ARCHITECTURE;4;5
AR5322;"Renewable Resources and Architecture";ARCHITECTURE;4;5
AR5421;"Architectural Practice 1";ARCHITECTURE;4;5
AR5422;"ARCHITECTURAL PRACTICE 2";ARCHITECTURE;4;5
AR5467;"Domesticity in Architecture, Art & Film";ARCHITECTURE;4;5
AR5770;"GRADUATE SEMINAR";ARCHITECTURE;4;5
AR5951A;"Topics in History and Theory of Architecture 1";ARCHITECTURE;4;5
AR5951B;"Topics in History & Theory of Architecture 2";ARCHITECTURE;4;5
AR5951C;"Topics in History and Theory of Architecture 3";ARCHITECTURE;4;5
AR5951K;"VAST AND CONTINUOUS INTERIORS: THE ASIAN EXPERIENCE";ARCHITECTURE;4;5
AR5951M;"Topics In Theory And Theory Of Architecture - Spaces of Malaya and Nanyang";ARCHITECTURE;4;5
AR5951Z;"Topics in History and Theory of Architecture Elective";ARCHITECTURE;4;5
AR5952A;"Topics in Urban Studies 1";ARCHITECTURE;4;5
AR5952B;"Topics in Urban Studies 2";ARCHITECTURE;4;5
AR5952C;"Special Topics in Urban Studies 3";ARCHITECTURE;4;5
AR5952J;"HUMAN ECOLOGY AND BUILT ENVIRONMENT - SPACE AND HEALTH";ARCHITECTURE;4;5
AR5952K;"Topics In Urban Studies: Design Thinking and Implementation";ARCHITECTURE;4;5
AR5952Z;"Topics in Urban Studies 2 Elective";ARCHITECTURE;4;5
AR5953A;"Topics in Design Technology 1";ARCHITECTURE;4;5
AR5953B;"Topics in Design Technology 2";ARCHITECTURE;4;5
AR5953C;"Topics in Design Technology 3";ARCHITECTURE;4;5
AR5953D;"Topics in Design Technology 4";ARCHITECTURE;4;5
AR5953J;"Topics in Design Technology - Solar Decathlon";ARCHITECTURE;4;5
AR5953L;"Topics in Design Technology - Design Space Exploration";ARCHITECTURE;4;5
AR5953M;"Topics in Design Technology- Iterative Virtual Prototyping";ARCHITECTURE;4;5
AR5954A;"Topics in Landscape Architecture 1";ARCHITECTURE;4;5
AR5954B;"Topics in Landscape Architecture";ARCHITECTURE;4;5
AR5954C;"Topics in Landscape Architecture";ARCHITECTURE;4;5
AR6770;"PHD SEMINAR";ARCHITECTURE;4;6
AS2237;"The U.S.: From Settlement to Superpower";HISTORY;4;2
AS3239;"The United States in the Asia-Pacific";HISTORY;4;3
AS4219;"American Intellectual History";HISTORY;5;4
AS4232;"Topics in American Literature";"ENGLISH LANGUAGE & LITERATURE";5;4
ASP1201;"H3 Humanities & Soc Sci Research Prog";"DEAN'S OFFICE (ARTS & SOCIAL SC.)";4;1
AUD5101;Acoustics;"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5102;"Anatomy & Physiology";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5103;"Pathologies of the Auditory System";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5104;"Perception of Sound & Speech";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5105;"Hearing Devices and Rehabilitation A - Part 1";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AUD5106;"Clinical Audiology A - Part 1";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AUD5107;"Paediatric Audiology A - Part 1";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AUD5108;"Electrophysiological Assessment A";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5109;"Professional Practice Issues & Community Audiology";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5110;"Vestibular Assessment and Management A";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AUD5111;"Hearing Devices & Rehabilitation A - Part 2";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AUD5112;"Clinical Audiology A - Part 2";"DIVISION OF GRADUATE MEDICAL STUDIES";4;5
AUD5113;"Paediatric Audiology A - Part 2";"DIVISION OF GRADUATE MEDICAL STUDIES";4;5
AUD5114;"Electrophysiological Assessment B";"DIVISION OF GRADUATE MEDICAL STUDIES";2;5
AUD5115;"Experimental Design & Statistics";"DIVISION OF GRADUATE MEDICAL STUDIES";3;5
AY1104;Anatomy;ANATOMY;4;1
BAA6001;"Accounting Research Seminars I.";ACCOUNTING;4;6
BAA6002;"Accounting Research Seminars II";ACCOUNTING;4;6
BBP5000;"Global Strategic Management";"STRATEGY AND POLICY";4;5
BBP6781;"SEMINAR IN STRATEGIC MANAGEMENT 1";"STRATEGY AND POLICY";4;6
BBP6782B;"SEMINAR IN STRATEGIC MANAGEMENT 2";"STRATEGY AND POLICY";2;6
BBP6791;"SEMINAR IN INTERNATIONAL BUSINESS";"STRATEGY AND POLICY";2;6
BBP6792;"APPLIED ECONOMETRICS FOR BUSINESS STUDY";"STRATEGY AND POLICY";4;6
BBP6793;"ECONOMIC MODELING FOR MANAGEMENT RESEARCH";"STRATEGY AND POLICY";4;6
BBP6795A;"Role of Government: Firm Strategy in Indonesia";"STRATEGY AND POLICY";2;6
BDC5101;"DETERMINISTIC OPERATIONS RESEARCH MODELS";"DECISION SCIENCES";4;5
BDC6111;"Foundations of Optimization";"DECISION SCIENCES";4;6
BDC6112;"Stochastic Processes";"DECISION SCIENCES";4;6
BDC6113;"Foundations of Inventory Management";"DECISION SCIENCES";4;6
BFA6002;"FINANCE THEORY";FINANCE;4;6
BFA6004;"EMPIRICAL FINANCE";FINANCE;4;6
BFS1001;"Personal Development & Career Management";"DEAN'S OFFICE (BIZ)";0;1
BHD4001;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";12;4
BHD4001A;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";0;4
BHD4001B;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";0;4
BHD4001C;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";12;4
BIS3001;"Independent Study Module in Business";"DEAN'S OFFICE (BIZ)";4;3
BL5102;"Environmental Science";"DEAN'S OFFICE (SCHOOL OF DESIGN & ENV)";4;5
BL5198;"GRADUATE SEMINAR MODULE IN BIOLOGICAL SCIENCES";"BIOLOGICAL SCIENCES";4;5
BL5201;"Structural Biology And Proteomics";"BIOLOGICAL SCIENCES";4;5
BL5202A;"BIOPHYSICAL METHODS IN LIFE SCIENCES";"BIOLOGICAL SCIENCES";4;5
BL5203;"MOLECULAR RECOGNITION AND INTERACTIONS";"BIOLOGICAL SCIENCES";2;5
BL5204;"CURRENT TRENDS IN BIOTECHNOLOGY";"BIOLOGICAL SCIENCES";4;5
BL5207A;"Topics In Developmental Biology";"BIOLOGICAL SCIENCES";4;5
BL5212;"Critical Thinking in Biological Sciences";"BIOLOGICAL SCIENCES";2;5
BL5215;"MACROMOLECULAR X-RAY CRYSTALLOGRAPHY";"BIOLOGICAL SCIENCES";4;5
BL5216;"ADVANCED GENETICS AND GENOME SCIENCES";"BIOLOGICAL SCIENCES";4;5
BL5218;"STUDIES IN CONSERVATION";"BIOLOGICAL SCIENCES";4;5
BL5219;"Field Research Techniques for Plant Ecology";"BIOLOGICAL SCIENCES";4;5
BL5220;"ADVANCED ANIMAL DEVELOPMENT";"BIOLOGICAL SCIENCES";4;5
BL5221;"PLANT AND MICROBIAL DEVELOPMENT";"BIOLOGICAL SCIENCES";4;5
BL5222;"Cellular Mechanisms";"BIOLOGICAL SCIENCES";4;5
BL5223;"Advanced Molecular Genetics";"BIOLOGICAL SCIENCES";4;5
BL5224;"Special topics in Biological Sciences";"BIOLOGICAL SCIENCES";4;5
BL5226;"Novel applications in Bioimaging Sciences";"BIOLOGICAL SCIENCES";4;5
BL5227B;"Advances in Environmental Biology";"BIOLOGICAL SCIENCES";2;5
BL5228;"Advances in Cell and Molecular Biology";"BIOLOGICAL SCIENCES";2;5
BL5229;"Fundamentals in Biophysical Sciences";"BIOLOGICAL SCIENCES";2;5
BL5230;"Invasion Biology";"BIOLOGICAL SCIENCES";2;5
BL5231;"Writing in the Biological Sciences";"BIOLOGICAL SCIENCES";2;5
BL5232;"Introduction to Bioimaging";"BIOLOGICAL SCIENCES";4;5
BL5232A;"Practical Bioimaging A: Electron Microscopy";"BIOLOGICAL SCIENCES";2;5
BL5233;"Modeling in Environmental Biology with R";"BIOLOGICAL SCIENCES";4;5
BL5234;"Theoretical Biology";"BIOLOGICAL SCIENCES";4;5
BL5235;"Advanced Optics for Microscopy";"BIOLOGICAL SCIENCES";4;5
BLD3001;"Business Leadership Case Analysis";"DEAN'S OFFICE (BIZ)";4;3
BLD3002;"CEOs as Leaders";"DEAN'S OFFICE (BIZ)";2;3
BLD3003;"Personal Leadership Development";"DEAN'S OFFICE (BIZ)";2;3
BLD3004;"Topics in Leadership";"DEAN'S OFFICE (BIZ)";4;3
BMA5001;"MANAGERIAL ECONOMICS";"DEAN'S OFFICE (BIZ)";4;5
BMA5002;"ANALYTICS FOR MANAGERS";"DEAN'S OFFICE (BIZ)";4;5
BMA5003;"FINANCIAL ACCOUNTING";"DEAN'S OFFICE (BIZ)";4;5
BMA5004A;"MANAGEMENT & ORGANIZATION";"DEAN'S OFFICE (BIZ)";2;5
BMA5005;"Management Accounting";"DEAN'S OFFICE (BIZ)";2;5
BMA5008;"FINANCIAL MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5009;"MARKETING MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5010A;"MANAGING OPERATIONS";"DEAN'S OFFICE (BIZ)";2;5
BMA5011;"Macroeconomics in the Global Economy";"DEAN'S OFFICE (BIZ)";4;5
BMA5013;"CORPORATE STRATEGY";"DEAN'S OFFICE (BIZ)";4;5
BMA5014;"ADVANCED BUSINESS COMMUNICATIONS";"DEAN'S OFFICE (BIZ)";4;5
BMA5016A;"LEADERSHIP IN ORGANIZATIONS";"DEAN'S OFFICE (BIZ)";2;5
BMA5102;"LEGAL ISSUES IN BUSINESS";"DEAN'S OFFICE (BIZ)";4;5
BMA5102A;"Topics in Legal Issues in Business";"STRATEGY AND POLICY";2;5
BMA5104;"GLOBAL STRATEGIC MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5112;"Asian Business Environments";"DEAN'S OFFICE (BIZ)";4;5
BMA5112A;"Special Topics in Asia Pacific Business";"DEAN'S OFFICE (BIZ)";2;5
BMA5119;"Family Business";"DEAN'S OFFICE (BIZ)";2;5
BMA5120;"EMERGING MARKETS STRATEGY";"DEAN'S OFFICE (BIZ)";2;5
BMA5121;"Asian Business Insights III";"DEAN'S OFFICE (BIZ)";2;5
BMA5122;"Macroeconomics and Finance: Perspectives from Asia";"DEAN'S OFFICE (BIZ)";4;5
BMA5124;"Environmental and Resource Management in a Regulatory Environment";"DEAN'S OFFICE (BIZ)";4;5
BMA5232;"STRATEGIC INFORMATION TECHNOLOGY";"DEAN'S OFFICE (BIZ)";4;5
BMA5232A;"Topics in Strategic Information Technology";"DECISION SCIENCES";2;5
BMA5235;"Transformational Service Innovations";"DEAN'S OFFICE (BIZ)";2;5
BMA5271;"SUPPLY CHAIN MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5302;"INVESTMENT ANALYSIS AND MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5302A;"Investment Analysis & Management";"DEAN'S OFFICE (BIZ)";2;5
BMA5303;"FINANCIAL STATEMENT ANALYSIS";"DEAN'S OFFICE (BIZ)";4;5
BMA5309;"FUND MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5313;"PRIVATE EQUITY";"DEAN'S OFFICE (BIZ)";4;5
BMA5313A;"Valuation and Mergers & Acquisitions";"DEAN'S OFFICE (BIZ)";4;5
BMA5313C;"Topics in Valuation and Mergers & Acquisitions";"DEAN'S OFFICE (BIZ)";2;5
BMA5313D;"PRIVATE EQUITY";FINANCE;4;5
BMA5318;"INVESTMENT BANKING";"DEAN'S OFFICE (BIZ)";4;5
BMA5318A;"Topics in Investment Banking";"DEAN'S OFFICE (BIZ)";2;5
BMA5323;"Applied Portfolio Management";"DEAN'S OFFICE (BIZ)";4;5
BMA5324;"Value Investing In Asia";"DEAN'S OFFICE (BIZ)";4;5
BMA5325;"International Finance";"DEAN'S OFFICE (BIZ)";4;5
BMA5327;"Family Business & Wealth Management";"DEAN'S OFFICE (BIZ)";4;5
BMA5328;"Measuring and Improving the Impact of Social Enterprises";"DEAN'S OFFICE (BIZ)";4;5
BMA5330;"Topics in Finance: Trading and Investing in Commodities";"DEAN'S OFFICE (BIZ)";2;5
BMA5405;"MANAGING CHANGE";"DEAN'S OFFICE (BIZ)";4;5
BMA5407;"MANAGING HUMAN CAPITAL";"DEAN'S OFFICE (BIZ)";4;5
BMA5409;"SEMINARS IN MANAGEMENT AND ORGANIZATIONS:MANAGERIAL DECISION MAKING";"DEAN'S OFFICE (BIZ)";4;5
BMA5414;"Managing the China Venture";"DEAN'S OFFICE (BIZ)";4;5
BMA5419;"Global Management of Asian Multinationals";"MANAGEMENT AND ORGANISATION";4;5
BMA5419A;"Topics in Global Management of Asian Multinationals";"MANAGEMENT AND ORGANISATION";2;5
BMA5420;"Leadership in Asia";"DEAN'S OFFICE (BIZ)";4;5
BMA5502;"CONSUMER BEHAVIOUR";"DEAN'S OFFICE (BIZ)";4;5
BMA5503;"PROMOTIONAL MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5504;"GLOBAL MARKETING";"DEAN'S OFFICE (BIZ)";4;5
BMA5506;"PRODUCT & BRAND MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5511;"CHANNELS AND PRICING STRATEGY";"DEAN'S OFFICE (BIZ)";4;5
BMA5523;"CUSTOMER RELATIONSHIP MANAGEMENT";"DEAN'S OFFICE (BIZ)";4;5
BMA5523A;"Topics in Customer Relationship Management";"DEAN'S OFFICE (BIZ)";2;5
BMA5524;"APPLIED MARKET RESEARCH";"DEAN'S OFFICE (BIZ)";4;5
BMA5801;"Management Communication";"DEAN'S OFFICE (BIZ)";0;5
BMA5901;"MANAGEMENT PRACTICUM";"DEAN'S OFFICE (BIZ)";4;5
BMC5001;"LEADERSHIP AND MANAGERIAL SKILLS";"DEAN'S OFFICE (BIZ)";6;5
BMC5002;"Corporate Strategy For 21st-Century Organisations";"DEAN'S OFFICE (BIZ)";6;5
BMC5003;"DECISION MAKING USING THE INFORMATION AGE TECHNOLOGIES";"DEAN'S OFFICE (BIZ)";6;5
BMC5004;"Business Environment In Asia";"DEAN'S OFFICE (BIZ)";6;5
BMC5005;"INTERNATIONAL BUSINESS AND LAW";"DEAN'S OFFICE (BIZ)";6;5
BMC5006;"THE ASIAN CONSUMER AND MARKETING MANAGEMENT";"DEAN'S OFFICE (BIZ)";6;5
BMC5007;"ACCOUNTING AND MANAGEMENT OF FINANCIAL RESOURCES";"DEAN'S OFFICE (BIZ)";6;5
BMC5008;"Cross-Cultural Human Resource Management";"DEAN'S OFFICE (BIZ)";6;5
BMC5009;"SYSTEM OPERATION AND PRODUCTION MANAGEMENT";"DEAN'S OFFICE (BIZ)";6;5
BMC5010;"Corporate Finance And Corporate Governance";"DEAN'S OFFICE (BIZ)";6;5
BMC5011;"SPECIAL TOPIC";"DEAN'S OFFICE (BIZ)";6;5
BMC5012;"ADVANCED STUDY PROJECT";"DEAN'S OFFICE (BIZ)";6;5
BME5001;"LEADERSHIP AND MANAGERIAL SKILLS";"DEAN'S OFFICE (BIZ)";6;5
BME5002;"Corporate Strategy";"DEAN'S OFFICE (BIZ)";4;5
BME5003;"Decision and Risk Analysis";"DEAN'S OFFICE (BIZ)";6;5
BME5004;"Managerial Economics";"DEAN'S OFFICE (BIZ)";4;5
BME5006;"Strategic Marketing and Brand Management";"DEAN'S OFFICE (BIZ)";6;5
BME5007;"Accounting And Management Of Financial Resources";"DEAN'S OFFICE (BIZ)";6;5
BME5008;"MANAGEMENT & ORGANIZATION";"DEAN'S OFFICE (BIZ)";6;5
BME5009;"LOGISTICS AND OPERATIONS MANAGEMENT";"DEAN'S OFFICE (BIZ)";6;5
BME5010;"Innovation Management and Entrepreneurship";"DEAN'S OFFICE (BIZ)";6;5
BME5011;"CONTEMPORARY ISSUES IN ASIAN BUSINESS";"DEAN'S OFFICE (BIZ)";6;5
BME5012;"THINKING CREATIVELY AND STRATEGICALLY";"DEAN'S OFFICE (BIZ)";6;5
BME5014;"Legal Issues in Business";"DEAN'S OFFICE (BIZ)";4;5
BME5015;"Macroeconomics and International Finance";"DEAN'S OFFICE (BIZ)";4;5
BME5017;"Asian Business Environment";"DEAN'S OFFICE (BIZ)";3;5
BMF5001;"Financial Management of Family Business";"DEAN'S OFFICE (BIZ)";4;5
BMF5002;"Valuation of Mergers and Acquisitions";FINANCE;4;5
BMK5002;"Applied Market Research";MARKETING;4;5
BMK5003;"Behavioral Economics";MARKETING;4;5
BMK5004;"Design Thinking & Business Innovations";MARKETING;4;5
BMK5005;"Competitive Marketing Strategy";MARKETING;4;5
BMK6100;"Proseminar in Marketing";MARKETING;4;6
BMK6101;"Marketing Seminar: Perspectives in Consumer Behavior";MARKETING;4;6
BMK6103;"Marketing Seminar: Consumer Judgment and Decision Making";MARKETING;4;6
BMK6104;"Marketing Seminar: Marketing Theory & Research";MARKETING;4;6
BMK6105E;"Independent Study Module: Emotions and Mental Imagery";MARKETING;4;6
BMK6106;"Marketing Seminar: Empirical IO Models in Marketing";MARKETING;4;6
BMK6107;"Marketing Seminar: Choice Models & Marketing Applications";MARKETING;4;6
BMK6109;"Marketing Seminar: Advanced Game Theory";MARKETING;4;6
BMK6111C;"Special Topics in Marketing";MARKETING;2;6
BMK6111D;"Special Topics in Marketing";MARKETING;2;6
BMK6111E;"Special Topics in Marketing";MARKETING;2;6
BMK6112;"Dynamic Structural Models in Marketing and Economics";MARKETING;4;6
BMM5001;"Leadership and Management";"DEAN'S OFFICE (BIZ)";4;5
BMM5002;"Asia-Pacific Economic and Business Environment";"DEAN'S OFFICE (BIZ)";4;5
BMM5101;"Judgment and Decision-Making for Modern Policy Makers";"DEAN'S OFFICE (BIZ)";4;5
BMM5105;"Real Estate Fundamentals and City Planning";"DEAN'S OFFICE (BIZ)";4;5
BMO5000;"Block Seminar";"DEAN'S OFFICE (BIZ)";2;5
BMO5001;"Managing Across Cultures";"MANAGEMENT AND ORGANISATION";4;5
BMO5002;"Business Project";"MANAGEMENT AND ORGANISATION";10;5
BMO5004;"Special Topics in Organizational Behavior";"MANAGEMENT AND ORGANISATION";4;5
BMO6001;"Seminar in Organisation Behaviour";"MANAGEMENT AND ORGANISATION";4;6
BMO6002;"SEMINAR IN ORGANISATION THEORY";"MANAGEMENT AND ORGANISATION";4;6
BMO6003;"SEMINAR IN HUMAN RESOURCE MANAGEMENT";"MANAGEMENT AND ORGANISATION";4;6
BMO6004;"SEMINAR IN RESEARCH METHODOLOGY";"MANAGEMENT AND ORGANISATION";4;6
BMO6006S;"Independent Study: Genetic Behavior Research";"MANAGEMENT AND ORGANISATION";4;6
BMO6006T;"Independent Study: Emotion Experiences and Emotion Regulations at Work";"MANAGEMENT AND ORGANISATION";4;6
BMO6006U;"Independent Study: Taking Stock of Conservation of Resource Theory";"MANAGEMENT AND ORGANISATION";4;6
