ModuleCode;ModuleTag;Score
ACC1002;ACCOUNTING;50
ACC1002X;ACCOUNTING;50
ACC1006;ACCOUNTING;50
ACC2002;ACCOUNTING;50
ACC3601;ACCOUNTING;50
ACC3602;ACCOUNTING;50
ACC3603;ACCOUNTING;50
ACC3604;ACCOUNTING;50
ACC3605;ACCOUNTING;50
ACC3606;ACCOUNTING;50
ACC3611;ACCOUNTING;50
ACC3612;ACCOUNTING;50
ACC3613;ACCOUNTING;50
ACC3614;ACCOUNTING;50
ACC3615;ACCOUNTING;50
ACC4611;ACCOUNTING;50
ACC4612A;ACCOUNTING;50
ACC4612C;ACCOUNTING;50
ACC4612E;ACCOUNTING;50
ACC4619;ACCOUNTING;50
ACC4629;ACCOUNTING;50
AR1102;ARCHITECTURE;50
AR1326;ARCHITECTURE;50
AR1721;ARCHITECTURE;50
AR1724;ARCHITECTURE;50
AR2102;ARCHITECTURE;50
AR2151;ARCHITECTURE;50
AR2225;ARCHITECTURE;50
AR2327;ARCHITECTURE;50
AR2723;ARCHITECTURE;50
AR3102;ARCHITECTURE;50
AR3102A;ARCHITECTURE;50
AR3152;ARCHITECTURE;50
AR3721;ARCHITECTURE;50
AR4102;ARCHITECTURE;50
AR4104;ARCHITECTURE;50
AR4142;ARCHITECTURE;50
AR4223;ARCHITECTURE;50
AR4323;ARCHITECTURE;50
AR5011;ARCHITECTURE;50
AR5221;ARCHITECTURE;50
AR5321;ARCHITECTURE;50
AR5952J;ARCHITECTURE;50
AR5952M;ARCHITECTURE;50
AR5952Z;ARCHITECTURE;50
AR5953L;ARCHITECTURE;50
AR5953N;ARCHITECTURE;50
AS4232;ENGLISH_LANGUAGE__LITERATURE;50
BFS1001;DEANS_OFFICE_BIZ;50
BHD4001;DEANS_OFFICE_BIZ;50
BHD4001A;DEANS_OFFICE_BIZ;50
BHD4001B;DEANS_OFFICE_BIZ;50
BHD4001C;DEANS_OFFICE_BIZ;50
BLD3001;DEANS_OFFICE_BIZ;50
BLD3002;DEANS_OFFICE_BIZ;50
BLD3003;DEANS_OFFICE_BIZ;50
BLD3004;DEANS_OFFICE_BIZ;50
BN2001;BIOMEDICAL_ENGINEERING;50
BN2103;BIOMEDICAL_ENGINEERING;50
BN2201;BIOMEDICAL_ENGINEERING;50
BN2203;BIOMEDICAL_ENGINEERING;50
BN2401;BIOMEDICAL_ENGINEERING;50
BN3401;BIOMEDICAL_ENGINEERING;50
BN3501;BIOMEDICAL_ENGINEERING;50
BN4101R;BIOMEDICAL_ENGINEERING;50
BN4201;BIOMEDICAL_ENGINEERING;50
BN4203;BIOMEDICAL_ENGINEERING;50
BN4402;BIOMEDICAL_ENGINEERING;50
BN4404;BIOMEDICAL_ENGINEERING;50
BSP1004;STRATEGY_AND_POLICY;50
BSP1004X;STRATEGY_AND_POLICY;50
BSP1005;STRATEGY_AND_POLICY;50
BSP2001;STRATEGY_AND_POLICY;50
BSP2005;STRATEGY_AND_POLICY;50
BSP3001A;STRATEGY_AND_POLICY;50
BSP3001B;STRATEGY_AND_POLICY;50
BSP3001C;STRATEGY_AND_POLICY;50
BSP4512;STRATEGY_AND_POLICY;50
CE2112;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE2183;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3101;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3102;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3116;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3132;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3155;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE3165;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4103;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4104;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4221;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4231;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4247;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4258;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE4282;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5105;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5106;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5107;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5207;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5308;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5313;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5603;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5604;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5611;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5805;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5881;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CE5883A;CIVIL__ENVIRONMENTAL_ENGINEERING;50
CG1108;COMPUTING__ENGINEERING;50
CG2271;COMPUTING__ENGINEERING;50
CG3204L;COMPUTING__ENGINEERING;50
CG4001;COMPUTING__ENGINEERING;50
CH1101E;CHINESE_STUDIES;50
CH2141;CHINESE_STUDIES;50
CH2223;CHINESE_STUDIES;50
CH2273;CHINESE_STUDIES;50
CH2291;CHINESE_STUDIES;50
CH2297;CHINESE_STUDIES;50
CH3223;CHINESE_STUDIES;50
CH3226;CHINESE_STUDIES;50
CH3229;CHINESE_STUDIES;50
CH3248;CHINESE_STUDIES;50
CH3295;CHINESE_STUDIES;50
CH4244;CHINESE_STUDIES;50
CH4261;CHINESE_STUDIES;50
CH4281;CHINESE_STUDIES;50
CH4401;CHINESE_STUDIES;50
CH4660;CHINESE_STUDIES;50
CH5225;CHINESE_STUDIES;50
CH5225R;CHINESE_STUDIES;50
CH5242;CHINESE_STUDIES;50
CH5242R;CHINESE_STUDIES;50
CH5660;CHINESE_STUDIES;50
CH5880;CHINESE_STUDIES;50
CH5880R;CHINESE_STUDIES;50
CH6201;CHINESE_STUDIES;50
CH6245;CHINESE_STUDIES;50
CH6262;CHINESE_STUDIES;50
CL1101E;CHINESE_STUDIES;50
CL2103;CHINESE_STUDIES;50
CL2241;CHINESE_STUDIES;50
CL2260;CHINESE_STUDIES;50
CL2281;CHINESE_STUDIES;50
CL2291;CHINESE_STUDIES;50
CL3205;CHINESE_STUDIES;50
CL3208;CHINESE_STUDIES;50
CL3211;CHINESE_STUDIES;50
CL3281;CHINESE_STUDIES;50
CM1121;CHEMISTRY;50
CM1161;CHEMISTRY;50
CM1191;CHEMISTRY;50
CM1402;CHEMISTRY;50
CM1502;CHEMISTRY;50
CM2101;CHEMISTRY;50
CM2111;CHEMISTRY;50
CM2121;CHEMISTRY;50
CM2142;CHEMISTRY;50
CM2161;CHEMISTRY;50
CM2191;CHEMISTRY;50
CM2192;CHEMISTRY;50
CM2192A;CHEMISTRY;50
CM2288;CHEMISTRY;50
CM2289;CHEMISTRY;50
CM3181;CHEMISTRY;50
CM3193;CHEMISTRY;50
CM3194;CHEMISTRY;50
CM3211;CHEMISTRY;50
CM3222;CHEMISTRY;50
CM3225;CHEMISTRY;50
CM3232;CHEMISTRY;50
CM3251;CHEMISTRY;50
CM3253;CHEMISTRY;50
CM3261;CHEMISTRY;50
CM3262;CHEMISTRY;50
CM3264;CHEMISTRY;50
CM3265;CHEMISTRY;50
CM3288;CHEMISTRY;50
CM3289;CHEMISTRY;50
CM3291;CHEMISTRY;50
CM3292;CHEMISTRY;50
CM3295;CHEMISTRY;50
CM3296;CHEMISTRY;50
CM3301;CHEMISTRY;50
CM3302;CHEMISTRY;50
CM3303;CHEMISTRY;50
CM3312;CHEMISTRY;50
CM4199A;CHEMISTRY;50
CM4199B;CHEMISTRY;50
CM4201;CHEMISTRY;50
CM4214;CHEMISTRY;50
CM4236;CHEMISTRY;50
CM4241;CHEMISTRY;50
CM4242;CHEMISTRY;50
CM4268;CHEMISTRY;50
CM4269;CHEMISTRY;50
CM4271;CHEMISTRY;50
CM4274;CHEMISTRY;50
CM5225;CHEMISTRY;50
CM5237;CHEMISTRY;50
CM5245;CHEMISTRY;50
CM5262;CHEMISTRY;50
CN1111;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN1111E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN2108;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2116;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2116E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN2121;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2122;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2125;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN2125E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN3108;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3109;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3124;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3124E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN3132;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3135;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN3421;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4118E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4118R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4121;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4122;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4123E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4201R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4203R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4208E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4210E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4223R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4227E;BACHELOR_OF_TECHNOLOGY_PROGRAMME;50
CN4227R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4238R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4240R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4246R;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN4248;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN5111;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CN5173;CHEMICAL__BIOMOLECULAR_ENGINEERING;50
CP3101A;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3101B;COMPUTER_SCIENCE;50
CP3106;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3108A;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3108B;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3109;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3200;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3201;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3208;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3209;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP3880;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CP4101;DEANS_OFFICE_SCHOOL_OF_COMPUTING;50
CS1010;COMPUTER_SCIENCE;50
CS1010E;COMPUTER_SCIENCE;50
CS1010FC;COMPUTER_SCIENCE;50
CS1010R;COMPUTER_SCIENCE;50
CS1010S;COMPUTER_SCIENCE;50
CS1020;COMPUTER_SCIENCE;50
CS1020E;COMPUTER_SCIENCE;50
CS1231;COMPUTER_SCIENCE;50
